                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2776,                 2.4522,                 2.2967,                0.12403,                0.15263,                0.07826,                0.02244,                 2.7975,                  4.967,                 2.8105,             0.00096733,             0.00096733,             0.00096733
                     35,                  2.169,                 2.5627,                 2.1913,                0.02934,                0.11838,                0.02885,                0.00872,                 2.8505,                 8.0249,                 3.0651,             0.00096634,             0.00096634,             0.00096634
                     36,                 2.1776,                 2.3234,                  2.183,                0.22153,                0.21126,                0.06563,                0.01913,                 2.8491,                 8.3257,                 3.2101,             0.00096535,             0.00096535,             0.00096535
                     37,                 2.1529,                 2.3329,                 2.1509,                0.21993,                0.21126,                0.06277,                0.01796,                 2.8491,                 8.3257,                 3.2101,             0.00096436,             0.00096436,             0.00096436
                     38,                 2.1546,                 2.3535,                 2.2186,                0.26502,                0.23178,                0.09012,                0.02631,                  2.717,                 6.0792,                 2.8978,             0.00096337,             0.00096337,             0.00096337
                     39,                 2.1544,                 2.3514,                 2.1879,                0.28044,                0.33263,                0.12259,                0.03496,                 2.6272,                 5.2229,                 2.7296,             0.00096238,             0.00096238,             0.00096238
                     40,                 2.2511,                 2.4131,                 2.2371,                0.14921,                0.45571,                0.13732,                0.04103,                 2.6629,                 4.1223,                 2.6657,             0.00096139,             0.00096139,             0.00096139
                     41,                 2.1061,                 2.2294,                   2.15,                0.18325,                0.48666,                0.20173,                0.05462,                 2.6362,                 3.3829,                 2.5751,              0.0009604,              0.0009604,              0.0009604
                     42,                 2.1597,                 2.3638,                 2.1737,                0.34917,                0.37147,                0.33566,                0.08383,                 2.6267,                 2.7169,                 2.5873,             0.00095941,             0.00095941,             0.00095941
                     43,                 2.0936,                 2.3766,                 2.1446,                0.36352,                0.31193,                0.31129,                0.09718,                 2.6317,                  2.636,                 2.5415,             0.00095842,             0.00095842,             0.00095842
                     44,                 2.1164,                 2.4217,                 2.2003,                0.44518,                0.32443,                0.32961,                0.08845,                 2.7178,                 2.5515,                 2.5376,             0.00095743,             0.00095743,             0.00095743
                     45,                 2.0135,                 2.3159,                 2.1642,                0.44518,                0.32443,                0.32961,                0.08845,                 2.7178,                 2.5515,                 2.5376,             0.00095644,             0.00095644,             0.00095644
                     46,                 1.9775,                 2.2049,                 2.0905,                0.25849,                0.26394,                0.18687,                0.05967,                 2.7348,                  2.697,                 2.5481,             0.00095545,             0.00095545,             0.00095545
                     47,                 2.1099,                 2.2828,                 2.1522,                0.28867,                0.36813,                0.17359,                0.05432,                 2.7193,                 2.7373,                 2.5749,             0.00095446,             0.00095446,             0.00095446
                     48,                 2.0053,                 2.2994,                 2.1414,                0.31609,                0.39789,                0.16493,                0.05668,                 2.7119,                 2.7771,                 2.6235,             0.00095347,             0.00095347,             0.00095347
                     49,                 2.1821,                 2.3041,                 2.2413,                0.12749,                0.31721,                0.14159,                0.05422,                 2.6667,                 2.6313,                 2.6434,             0.00095248,             0.00095248,             0.00095248
                     50,                 2.0754,                 2.3616,                 2.1558,                0.33624,                0.22186,                0.14558,                0.05483,                 2.6108,                 2.3906,                 2.5924,             0.00095149,             0.00095149,             0.00095149
                     51,                 2.0945,                 2.2859,                 2.1603,                 0.2214,                  0.281,                0.20327,                0.06871,                 2.6423,                 2.4512,                 2.5732,              0.0009505,              0.0009505,              0.0009505
                     52,                 2.0522,                  2.281,                 2.1813,                 0.3501,                0.26333,                0.20438,                0.06066,                 2.7651,                 2.6351,                 2.6029,             0.00094951,             0.00094951,             0.00094951
                     53,                 1.9432,                 2.2161,                 2.0984,                 0.3501,                0.26333,                0.20438,                0.06066,                 2.7651,                 2.6351,                 2.6029,             0.00094852,             0.00094852,             0.00094852
