                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 2.9902,                 2.2723,                  2.384,                 1.4263,                0.02744,                0.03704,                0.00927,                0.00241,                0.06833,                0.03704,                0.01185,                0.00173,                 4.5177,                 3.4386,                 7.4755,                 1.7083,              0.0015476,              0.0015476,              0.0015476
                     24,                 2.8908,                 2.2337,                 2.4177,                 1.5144,                0.00966,                0.01852,                0.00118,                0.00028,                0.07608,                0.05556,                 0.0086,                0.00172,                 4.8483,                 3.9403,                 4.2127,                 2.5607,              0.0016111,              0.0016111,              0.0016111
                     25,                 2.8245,                 2.3876,                 2.2632,                 1.3838,                0.00966,                0.01852,                0.00118,                0.00028,                0.07608,                0.05556,                 0.0086,                0.00172,                 4.8483,                 3.9403,                 4.2127,                 2.5607,              0.0016257,              0.0016257,              0.0016257
                     26,                 2.9781,                 2.1972,                 2.5561,                 1.3763,                0.52715,                0.11111,                0.01833,                0.00429,                0.56139,                0.09259,                  0.025,                0.00672,                 3.7022,                 4.5792,                 5.0712,                 1.4493,              0.0016257,              0.0016257,              0.0016257
                     27,                 2.6601,                 2.2573,                 2.2423,                 1.4416,                0.52715,                0.11111,                0.01833,                0.00429,                0.56139,                0.09259,                  0.025,                0.00672,                 3.7022,                 4.5792,                 5.0712,                 1.4493,              0.0016241,              0.0016241,              0.0016241
                     28,                 2.4771,                 2.5103,                 2.0901,                  1.449,                0.04877,                0.14815,                0.02425,                0.00599,                0.04449,                0.14815,                0.02183,                0.00519,                 4.0272,                 3.6937,                 7.1735,                 1.3615,              0.0016224,              0.0016224,              0.0016224
                     29,                 2.7142,                 2.5927,                 1.9758,                 1.4599,                0.04877,                0.14815,                0.02425,                0.00599,                0.04449,                0.14815,                0.02183,                0.00519,                 4.0272,                 3.6937,                 7.1735,                 1.3615,              0.0016208,              0.0016208,              0.0016208
                     30,                 2.6982,                  2.081,                 2.2115,                 1.4471,                0.17578,                0.16667,                0.09739,                0.01615,                0.06086,                0.31481,                0.06288,                0.02039,                 3.7031,                 2.9209,                  4.852,                 1.3125,              0.0016191,              0.0016191,              0.0016191
                     31,                 2.8144,                 1.9776,                 2.2423,                 1.3454,                0.17578,                0.16667,                0.09739,                0.01615,                0.06086,                0.31481,                0.06288,                0.02039,                 3.7031,                 2.9209,                  4.852,                 1.3125,              0.0016175,              0.0016175,              0.0016175
                     32,                 2.7478,                 2.0785,                 2.2323,                  1.341,                0.09681,                0.42593,                0.10961,                0.02022,                0.06551,                0.37037,                0.04842,                 0.0095,                 3.5781,                 3.9659,                 6.9932,                 1.1602,              0.0016158,              0.0016158,              0.0016158
